Kraj,Populacja,Przyrost rzeczywisty (%),Przyrost rzeczywisty,Zaludnienie (Os./Km^2),Powierzchnia (Km^2),Migracje,Wspolczynnik dzietności,Sredni wiek,Urbanizacja (%),Powierzchnia ladu (%),Spozycie miesa,Przewidywana dlugosc zycia,wspolczynnik samobojstw,Wielkosc,Kontynent
South Korea,51276977,0.09,43877,527,97230,11731.0,1.1,44,82.0,0.66,48.0,71.75,20.2,Duzy,Asia
South Sudan,11216250,1.19,131612,18,610952,-174200.0,4.7,19,25.0,0.14,13.1,57.6,6.1,Duzy,Africa
Spain,46757980,0.04,18002,94,498800,40000.0,1.3,45,80.0,0.6,118.6,83.4,6.1,Duzy,Europe
Sri Lanka,21428970,0.42,89516,341,62710,-97986.0,2.2,34,18.0,0.27,6.6,76.8,14.2,Duzy,Asia
St. Vincent & Grenadines,111002,0.32,351,284,390,-200.0,1.9,33,53.0,0.0,79.1,72.4,2.4,Maly,America
State of Palestine,5121112,2.41,119994,847,6020,-10563.0,3.7,21,80.0,0.07,43.84,73.9,9.69,Maly,Asia
Sudan,44019263,2.42,1036022,25,1765048,-50000.0,4.4,20,35.0,0.56,21.0,65.1,9.5,Duzy,Africa
Suriname,587541,0.9,5260,4,156000,-1000.0,2.4,29,65.0,0.01,40.3,71.6,23.2,Maly,America
Sweden,10110233,0.63,62886,25,410340,40000.0,1.9,41,88.0,0.13,76.1,82.7,13.8,Duzy,Europe
Switzerland,8665615,0.74,63257,219,39516,52000.0,1.5,43,74.0,0.11,72.9,71.75,11.3,Maly,Europe
Syria,17571053,2.52,430523,95,183630,-427391.0,2.8,26,60.0,0.22,21.2,71.8,2.4,Duzy,Asia
Tanzania,60012400,2.98,1728755,67,885800,-40076.0,4.9,18,37.0,0.77,10.0,65.0,9.6,Duzy,Africa
Thailand,69830779,0.25,174396,137,510890,19444.0,1.5,40,51.0,0.9,27.9,76.9,12.9,Duzy,Asia
Timor-Leste,1322667,1.96,25326,89,14870,-5385.0,4.1,21,33.0,0.02,41.3,69.3,6.4,Maly,Asia
Togo,8310934,2.43,196358,152,54390,-2000.0,4.4,19,43.0,0.11,8.5,60.8,16.6,Maly,Africa
Tonga,105901,1.15,1201,147,720,-800.0,3.6,22,24.0,0.0,43.84,70.8,4.0,Maly,brak danych
Trinidad and Tobago,1400283,0.32,4515,273,5130,-800.0,1.7,36,52.0,0.02,57.8,73.4,12.9,Maly,America
Tunisia,11839918,1.06,123900,76,155360,-4000.0,2.2,33,70.0,0.15,25.5,76.5,3.2,Duzy,Africa
Turkey,84495243,1.09,909452,110,769630,283922.0,2.1,32,76.0,1.08,19.3,78.3,7.2,Duzy,Asia
Turkmenistan,6046292,1.5,89111,13,469930,-5000.0,2.8,27,53.0,0.08,41.7,68.1,7.2,Maly,Asia
U.S. Virgin Islands,104398,-0.15,-153,298,350,-451.0,2.0,43,96.0,0.0,6.6,71.75,9.69,Maly,America
Uganda,45974931,3.32,1471413,229,199810,168694.0,5.0,17,26.0,0.59,11.7,63.0,20.0,Duzy,Africa
Ukraine,43686577,-0.59,-259876,75,579320,10000.0,1.4,41,69.0,0.56,32.3,72.0,18.5,Duzy,Europe
United Arab Emirates,9910892,1.23,119873,118,83600,40000.0,1.4,33,86.0,0.13,74.4,77.8,2.7,Duzy,Asia
United Kingdom,67948282,0.53,355839,281,241930,260650.0,1.8,40,83.0,0.87,79.6,81.2,7.6,Duzy,Europe
United States,331341050,0.59,1937734,36,9147420,954806.0,1.8,38,83.0,4.25,124.8,78.9,13.7,Duzy,America
Uruguay,3475842,0.35,11996,20,175020,-3000.0,2.0,36,96.0,0.04,98.6,77.8,16.5,Maly,America
Uzbekistan,33551824,1.48,487487,79,425400,-8863.0,2.4,28,50.0,0.43,20.7,71.5,7.4,Duzy,Asia
Vanuatu,308337,2.42,7263,25,12190,120.0,3.8,21,24.0,0.0,32.6,70.3,5.4,Maly,brak danych
Venezuela,28421581,-0.28,-79889,32,882050,-653249.0,2.3,30,59.58,0.36,56.6,72.1,3.8,Duzy,America
Vietnam,97490013,0.91,876473,314,310070,-80000.0,2.1,32,38.0,1.25,28.6,75.3,7.0,Duzy,Asia
Yemen,29935468,2.28,664042,56,527970,-30000.0,3.8,20,38.0,0.38,14.7,66.1,9.8,Duzy,Asia
Zambia,18468257,2.93,522925,25,743390,-8000.0,4.7,18,45.0,0.24,11.9,63.5,11.3,Duzy,Africa
Zimbabwe,14899771,1.48,217456,38,386850,-116858.0,3.6,19,38.0,0.19,15.2,61.2,19.1,Duzy,Africa
